,Unnamed: 0,Unnamed: 0.1,domination_number,total_domination_number,connected_domination_number,independence_number,zero_forcing_number,diameter,radius,order,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,min_degree,max_degree,clique_number,residue,annihilation_number,vertex_cover_number,girth,density,estrada_index,transitivity,global_efficiency,local_efficiency,wiener_index,algebraic_connectivity,k-slater-index,k_residual_index,randic_index,augmented_randic_index,harmonic_index,atom_bond_connectivity_index,sum_connectivity_index,first_zagreb_index,second_zagreb_index,slater,sub_total_domination_number,CW_disparity,closed_CW_disparity,inverse_disparity,closed_inverse_disparity,average_vertex_disparity,average_closed_vertex_disparity,irregularity,2-residue,number_of_degree_one_nodes,average_degree,number_of_min_degree_nodes,number_of_max_degree_nodes,is_bipartite,is_eulerian,is_planar,is_regular,is_cubic,is_not_K_n,is_triangle_free,is_claw_free,is_tree,is_at_free,has_bridges,is_chordal,is_2_edge_connected,is_distance_regular,is_strongly_regular,is_semieulerian,is_bull_free,is_complete_graph,is_sub_cubic,name,paired_domination_number,power_domination_number,2-power_domination_number,2-domination_number,2-forcing_number,total_forcing_number,networkx_graph
64,64.0,MathematicaGraph3496.txt,2,4,4,11,9,5,3,14,2,2,3,2,12,1,6,2,10,11,3,1000000,0.1428571428571428,34.90403874101477,0.0,0.4413919413919419,0.0,275.0,0.0999474527999931,1,2,5.159833173828257,2.5,3.8571428571428568,11.250029635312412,4.986751511278819,90.0,88.0,2,3,6.333333333333334,4.5,12.0,6.666666666666666,1.2857142857142858,2.142857142857143,2.257142857142857,11.0,10,1.8571428571428568,10,2,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-64,4,2,2,12,7,11,
65,65.0,MathematicaGraph3498.txt,3,6,6,5,2,6,3,9,3,2,4,3,16,1,3,2,4,5,4,1000000,0.2222222222222222,19.25633377768053,0.0,0.4828703703703703,0.0,102.0,0.1980622641951671,1,2,4.346065214951231,3.5,4.2,5.656854249492381,4.073691594068752,32.0,32.0,3,4,3.6666666666666665,2.916666666666667,6.5,4.333333333333334,1.5555555555555556,2.111111111111111,2.2,5.5,3,1.7777777777777777,3,1,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,True,graph-65,6,1,1,6,1,3,
66,66.0,MathematicaGraph3499.txt,3,6,6,8,4,6,3,12,3,2,4,3,16,1,3,2,5,8,4,1000000,0.1666666666666666,26.71491700474646,0.0,0.4290404040404044,0.0,211.0,0.1391941468882991,1,3,5.430428110326541,3.6666666666666665,4.933333333333334,8.394073276979213,5.197102672463695,50.0,51.0,3,4,5.333333333333333,3.8333333333333335,10.0,5.666666666666666,1.3333333333333333,2.1666666666666665,2.2948717948717947,7.0,6,1.8333333333333333,6,4,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,True,graph-66,6,3,1,8,1,7,
67,67.0,MathematicaGraph3504.txt,4,8,8,6,2,7,4,12,4,2,6,4,18,1,3,2,5,7,6,1000000,0.1666666666666666,26.328290480362647,0.0,0.4238816738816742,0.0,214.0,0.1419561747655485,1,2,5.794753619934975,4.666666666666667,5.6,7.7377344785321425,5.506503749222198,46.0,49.0,4,5,4.666666666666667,3.833333333333334,8.0,5.666666666666667,1.6666666666666667,2.1666666666666665,2.2948717948717947,7.0,4,1.8333333333333333,4,2,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,True,graph-67,8,2,1,8,1,4,
68,68.0,MathematicaGraph3580.txt,2,2,2,3,2,3,2,5,2,2,2,1,8,1,3,2,3,3,2,1000000,0.4,10.118119614388572,0.0,0.6666666666666667,0.0,18.0,0.5188056959079868,1,1,2.270055610029662,1.5,2.0666666666666664,3.0472067242285474,2.024563864689584,16.0,14.0,2,2,2.1666666666666665,1.4999999999999998,4.0,2.1666666666666665,1.4,2.4,2.6,3.5,3,1.6,3,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True,graph-68,2,1,1,4,1,3,
69,69.0,MathematicaGraph6026.txt,1,2,1,2,1,2,1,3,1,2,1,1,4,1,2,2,2,2,1,1000000,0.6666666666666666,5.3563671132171375,0.0,0.8333333333333334,0.0,4.0,0.9999999999999998,1,1,1.414213562373095,1.0,1.3333333333333333,1.4142135623730951,1.1547005383792517,6.0,4.0,1,2,1.5,1.0,3.0,1.5,1.0,2.0,2.0,2.0,2,1.3333333333333333,2,1,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-69,2,1,1,2,1,2,
70,70.0,MathematicaGraph6027.txt,2,2,2,2,1,3,2,4,2,2,2,1,6,1,2,2,2,2,2,1000000,0.5,7.635733837560579,0.0,0.7222222222222222,0.0,10.0,0.5857864376269049,1,1,1.914213562373095,1.5,1.8333333333333333,2.121320343559643,1.6547005383792517,10.0,8.0,2,2,1.6666666666666663,1.3333333333333333,3.0,2.0,1.5,2.0,2.0,2.5,2,1.5,2,2,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-70,2,1,1,3,1,2,
71,71.0,MathematicaGraph6028.txt,2,3,3,3,1,4,2,5,2,2,2,2,8,1,2,2,2,3,2,1000000,0.4,9.915316149982347,0.0,0.6416666666666667,0.0,20.0,0.3819660112501053,1,2,2.414213562373095,2.0,2.333333333333333,2.8284271247461903,2.1547005383792515,14.0,12.0,2,3,2.1666666666666665,1.833333333333333,4.0,3.0,1.4,1.8,1.933333333333333,3.0,2,1.6,2,3,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-71,4,1,1,3,1,2,
72,72.0,MathematicaGraph6029.txt,2,4,4,3,1,5,3,6,2,2,3,2,10,1,2,2,3,3,3,1000000,0.3333333333333333,12.194901425440468,0.0,0.58,0.0,35.0,0.2679491924311231,1,1,2.914213562373095,2.5,2.833333333333333,3.5355339059327378,2.6547005383792515,18.0,16.0,2,3,2.6666666666666665,2.333333333333333,5.0,4.0,1.3333333333333333,1.6666666666666667,1.8571428571428568,3.5,2,1.6666666666666667,2,4,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-72,4,1,1,4,1,2,
73,73.0,MathematicaGraph6030.txt,3,4,5,4,1,6,3,7,3,2,3,2,12,1,2,2,3,4,3,1000000,0.2857142857142857,14.474486727605726,0.0,0.5309523809523808,0.0,56.0,0.1980622641951619,1,2,3.414213562373095,3.0,3.333333333333333,4.242640687119286,3.1547005383792515,22.0,20.0,3,4,3.1666666666666665,2.833333333333333,6.0,5.0,1.2857142857142858,1.5714285714285714,1.7857142857142858,4.0,2,1.7142857142857142,2,5,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-73,4,1,1,4,1,2,
