,domination_number,total_domination_number,connected_domination_number,independence_number,zero_forcing_number,diameter,radius,order,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,min_degree,max_degree,clique_number,residue,annihilation_number,vertex_cover_number,girth,density,estrada_index,transitivity,global_efficiency,local_efficiency,wiener_index,algebraic_connectivity,k-slater-index,k_residual_index,randic_index,augmented_randic_index,harmonic_index,atom_bond_connectivity_index,sum_connectivity_index,first_zagreb_index,second_zagreb_index,slater,sub_total_domination_number,CW_disparity,closed_CW_disparity,inverse_disparity,closed_inverse_disparity,average_vertex_disparity,average_closed_vertex_disparity,irregularity,2-residue,number_of_degree_one_nodes,average_degree,number_of_min_degree_nodes,number_of_max_degree_nodes,is_bipartite,is_eulerian,is_planar,is_regular,is_cubic,is_not_K_n,is_triangle_free,is_claw_free,is_tree,is_at_free,has_bridges,is_chordal,is_2_edge_connected,is_distance_regular,is_strongly_regular,is_semieulerian,is_bull_free,is_complete_graph,is_sub_cubic
G19.txt,1,2,1,3,2,2,1,5,1,3,2,1,6,1,4,3,3,3,2,3,0.6,17.518368411110384,0.5454545454545454,0.8,0.6500000000000001,14.0,1.0000000000000018,1,1,2.3122784967090864,1.6666666666666665,2.1523809523809523,4.339949752898532,2.536101840436827,34.0,44.0,1,2,1.7499999999999998,1.2833333333333332,2.833333333333333,1.7499999999999998,2.0,3.0,3.2666666666666666,3.0,1,2.4,1,1,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False
G20.txt,2,2,2,2,2,3,2,5,2,3,2,2,6,1,3,3,2,3,3,3,0.6,17.183979668420474,0.6,0.7833333333333334,0.6,15.0,0.8299135133739663,1,1,2.393846850117352,2.0,2.3,4.230710143300821,2.619172062391505,32.0,42.0,2,2,1.9999999999999998,1.6666666666666665,3.5,2.5,1.6,2.0,2.0,2.5,1,2.4,1,3,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,True
G21.txt,1,2,1,2,3,2,1,5,1,3,2,2,5,2,4,3,2,3,3,3,0.6,16.61977055527042,0.6,0.8,0.8666666666666668,14.0,1.0000000000000004,1,1,2.414213562373095,2.0,2.333333333333333,4.242640687119286,2.6329931618554525,32.0,40.0,1,2,1.833333333333333,1.6666666666666665,3.0,2.5,1.8,2.0,2.0,3.0,0,2.4,4,1,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False
G22.txt,1,2,1,3,3,2,1,5,1,3,2,1,6,2,4,3,3,3,2,3,0.7,22.588751647595707,0.6,0.85,0.9,13.0,2.000000000000001,1,1,2.3713203435596424,1.75,2.25,4.85501312281508,2.8030431333764523,44.0,64.0,1,2,2.1666666666666665,1.6666666666666665,4.0,2.5,1.4,2.0,2.0,3.0,0,2.8,3,2,False,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False
G23.txt,1,2,1,2,2,2,1,5,1,3,2,2,5,2,4,3,2,3,3,3,0.7,21.742127395986508,0.6428571428571429,0.85,0.8777777777777779,13.0,1.585786437626905,1,1,2.434286964637233,2.0,2.3714285714285714,4.786088240148662,2.8751010084099593,42.0,61.0,1,2,1.4999999999999998,1.25,2.1666666666666665,1.6666666666666665,2.4,3.0,3.0,2.5,0,2.8,2,1,False,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False
G24.txt,2,2,2,2,3,2,2,5,2,3,2,2,5,2,3,3,2,2,3,3,0.7,20.248462635349572,0.46153846153846156,0.85,0.4666666666666667,13.0,2.0,1,1,2.4831632475943928,2.333333333333333,2.466666666666667,4.747546895706428,2.9356686433192314,40.0,57.0,2,2,2.1666666666666665,1.9999999999999998,4.0,3.5,1.4,1.6,1.8,2.0,0,2.8,1,4,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True
G25.txt,1,2,1,2,3,2,1,5,1,4,2,2,5,1,4,4,2,3,3,3,0.7,24.382148640910806,0.8,0.85,0.7,13.0,1.000000000000001,1,1,2.366025403784439,2.0,2.257142857142857,4.802517076888147,2.8058518859192287,44.0,67.0,1,2,1.8333333333333333,1.5833333333333333,3.0,2.333333333333333,1.8,2.2,2.3333333333333335,2.5,1,2.8,1,1,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,False
G26.txt,1,2,1,2,3,2,1,5,1,3,2,2,4,3,4,3,2,2,3,3,0.8,27.859379312789624,0.6666666666666666,0.9,0.8333333333333334,12.0,3.000000000000001,1,1,2.488033871712585,2.333333333333333,2.4761904761904763,5.248655564138278,3.144851053892361,52.0,84.0,1,2,1.833333333333333,1.6666666666666665,3.0,2.5,1.8,2.0,2.0,2.0,0,3.2,4,1,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False
G27.txt,1,2,1,2,3,2,1,5,1,4,2,2,5,2,4,4,2,3,3,3,0.8,30.106919811316388,0.7894736842105263,0.9,0.9333333333333333,12.0,2.0000000000000018,1,1,2.4451406528991324,2.0833333333333335,2.392857142857143,5.275241562207167,3.0901561540217717,54.0,89.0,1,2,1.6666666666666665,1.4999999999999998,2.6666666666666665,2.1666666666666665,2.2,2.4,2.6,2.5,0,3.2,1,2,False,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False
G28.txt,1,2,1,2,3,2,1,5,1,4,2,2,4,3,4,4,2,2,3,3,0.9,40.24017241692071,0.875,0.95,0.95,11.0,3.0000000000000018,1,1,2.4820508075688776,2.25,2.4642857142857144,5.7101006532948,3.3284470098351844,66.0,120.0,1,2,1.9999999999999998,1.6666666666666665,3.5,2.5,1.6,2.0,2.0,2.0,0,3.6,2,3,False,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False
G29.txt,1,2,1,1,4,1,1,5,1,5,2,2,3,4,4,5,1,2,4,3,1.0,56.06966779783001,1.0,1.0,1.0,10.0,4.999999999999999,1,1,2.5,2.5,2.5,6.123724356957945,3.5355339059327373,80.0,160.0,1,2,2.5,2.5,5.0,5.0,1.0,1.0,1.0,1.5,0,4.0,5,5,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False
G3.txt,1,2,1,2,1,2,1,3,1,2,1,1,4,1,2,2,2,2,1,1000000,0.6666666666666666,5.3563671132171375,0,0.8333333333333334,0.0,4.0,1.0,1,1,1.414213562373095,1.0,1.3333333333333333,1.4142135623730951,1.1547005383792517,6.0,4.0,1,2,1.5,1.0,3.0,1.5,1.0,2.0,2.0,2.0,2,1.3333333333333333,2,1,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True
G30.txt,2,2,2,4,2,3,2,6,3,2,2,1,8,1,3,2,4,4,2,1000000,0.3333333333333333,12.610552651797757,0,0.6222222222222222,0.0,29.0,0.4384471871911706,1,1,2.642734410091837,1.6666666666666665,2.3333333333333335,3.9326529903775707,2.408248290463863,22.0,21.0,2,2,2.6666666666666665,1.9999999999999998,5.0,3.0,1.3333333333333333,2.0,2.0,4.0,4,1.6666666666666667,4,2,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True
G31.txt,2,3,3,3,2,4,2,6,2,2,3,2,8,1,3,2,3,3,3,4,0.4,14.32635766478533,0,0.65,0.0,29.0,0.4384471871911697,1,1,2.931851652578137,2.5,2.8666666666666667,4.242640687119286,2.9189910556895,26.0,28.0,2,3,2.5,2.083333333333333,4.5,3.333333333333333,1.5,2.0,2.238095238095238,3.5,1,2.0,1,1,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True
G32.txt,2,2,2,2,2,3,2,6,2,3,3,2,6,2,4,3,2,3,4,3,0.6,29.135729105981497,0.6,0.788888888888889,0.851851851851852,22.0,1.186393497351669,1,1,2.928303900493525,2.4166666666666665,2.8595238095238096,6.022788457913596,3.5763350545578243,58.0,92.0,2,2,1.833333333333333,1.5,2.6666666666666665,1.9999999999999998,2.3333333333333335,3.0,3.0,3.0,0,3.0,2,2,False,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False
G33.txt,2,2,2,2,3,3,2,6,2,4,3,2,7,1,4,4,2,3,4,3,0.6,32.84085642162484,0.7142857142857143,0.7777777777777778,0.6666666666666666,23.0,0.7639320225002105,1,1,2.892734410091837,2.4166666666666665,2.7976190476190474,5.968519029497604,3.5295885191125,60.0,100.0,2,2,2.1666666666666665,1.9166666666666665,3.5,2.8333333333333335,1.8333333333333333,2.1666666666666665,2.2857142857142856,3.0,1,3.0,1,2,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,False
G34.txt,2,2,2,6,6,2,2,8,2,2,2,2,6,2,6,2,5,6,2,4,0.42857142857142855,37.97904661912989,0,0.7142857142857143,0.0,44.0,2.000000000000001,1,6,3.4641016151377553,2.0,3.0,8.485281374238571,4.242640687119285,96.0,144.0,2,2,4.0,2.6666666666666665,8.0,4.0,1.0,2.0,2.0,5.5,0,3.0,6,2,True,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False
G35.txt,3,5,6,6,3,7,4,11,3,2,5,4,14,1,3,2,4,6,5,4,0.21818181818181817,27.67401100975828,0,0.4844155844155847,0.0,158.0,0.18639349735166955,1,3,5.360173345306138,4.666666666666666,5.233333333333333,8.554231059459868,5.59152986346361,56.0,64.0,3,4,4.0,3.7500000000000004,6.5,5.833333333333333,1.8181818181818181,2.0,2.1515151515151514,5.5,1,2.1818181818181817,1,3,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True
G36.txt,4,6,7,5,2,7,4,10,4,2,5,3,18,1,3,2,4,6,5,1000000,0.2,21.535922124203317,0,0.45206349206349217,0.0,141.0,0.1478922789576828,2,2,4.846065214951231,4.0,4.7,6.3639610306789285,4.573691594068752,36.0,36.0,3,5,4.166666666666667,3.416666666666667,7.5,5.333333333333334,1.5,2.0,2.1636363636363636,6.0,3,1.8,3,1,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,True
G37.txt,1,2,1,3,3,2,1,6,1,4,3,2,6,1,5,4,3,4,3,3,0.6,33.792605482562855,0.6521739130434783,0.8,0.7222222222222223,21.0,1.0000000000000018,1,1,2.7676829318773297,2.0833333333333335,2.579365079365079,6.122820911152797,3.399078404939152,64.0,106.0,1,2,1.7833333333333332,1.45,2.75,1.9499999999999997,2.6666666666666665,3.3333333333333335,3.761904761904762,3.5,1,3.0,1,1,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,True,False,False
G38.txt,3,5,6,6,4,4,4,13,3,3,6,4,10,2,5,3,4,8,7,3,0.24358974358974358,52.551895311522685,0.27906976744186046,0.5395299145299144,0.2692307692307692,182.0,0.5306897169996831,1,2,6.297267650144711,5.333333333333333,6.109523809523809,12.78492077502777,7.568846878915783,124.0,195.0,3,3,4.666666666666666,4.166666666666667,7.666666666666667,6.333333333333333,1.9230769230769231,2.230769230769231,2.4945054945054945,6.0,0,2.923076923076923,5,2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
G39.txt,4,5,5,5,4,6,3,12,4,3,6,4,13,2,4,3,4,7,7,3,0.24242424242424243,39.97216019672716,0.20689655172413793,0.5131313131313134,0.20833333333333337,174.0,0.1879492334519672,2,2,5.900613459826018,5.166666666666666,5.804761904761905,10.988288812748067,6.796948552265244,90.0,125.0,3,4,4.416666666666667,3.8333333333333335,7.333333333333333,5.833333333333333,1.8333333333333333,2.25,2.5256410256410255,5.5,0,2.6666666666666665,5,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
G4.txt,2,2,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,2,2,4,0.6666666666666666,9.524391382167263,0,0.8333333333333334,0.0,8.0,2.000000000000001,1,1,2.0,2.0,2.0,2.8284271247461903,2.0,16.0,16.0,2,2,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,0,2.0,4,4,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,False,True,False,True
G40.txt,2,2,2,3,3,3,2,6,2,3,3,2,7,1,4,3,3,4,3,3,0.4666666666666667,19.247063158510013,0.5,0.711111111111111,0.6111111111111112,25.0,0.6313506281127625,1,1,2.834933866028123,2.1666666666666665,2.6857142857142855,4.997527711228367,3.0499229399007746,38.0,49.0,2,2,2.083333333333333,1.6999999999999997,3.3333333333333335,2.4166666666666665,2.0,2.6666666666666665,3.0,3.5,1,2.3333333333333335,1,1,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,True,False,False,False
G41.txt,3,5,5,5,3,4,3,11,3,3,5,3,9,2,3,2,4,6,6,4,0.2545454545454545,31.652387887235403,0,0.5590909090909093,0.0,121.0,0.6972243622680098,1,2,5.432652990377571,4.833333333333333,5.366666666666667,9.697294364012262,6.118950216318979,74.0,97.0,3,4,4.333333333333334,3.833333333333334,7.5,6.0,1.6363636363636365,1.9090909090909092,1.9848484848484849,5.0,0,2.5454545454545454,5,6,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True
G42.txt,6,6,6,10,6,4,2,16,6,2,6,6,12,2,10,2,7,10,6,4,0.16666666666666666,55.404515071998425,0,0.5069444444444434,0.0,280.0,0.5857864376269071,2,2,7.23606797749979,6.0,6.666666666666667,14.142135623730951,7.886751345948129,160.0,240.0,3,4,6.333333333333334,6.166666666666667,11.0,10.5,1.625,1.6875,1.8897058823529411,10.0,0,2.5,15,1,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False
G43.txt,5,5,5,8,3,4,2,17,5,3,8,6,12,2,8,3,5,10,9,3,0.19117647058823528,73.66557055354517,0.12857142857142856,0.506740196078431,0.16876750700280116,327.0,0.5995350235709341,2,3,8.185201515867599,6.583333333333333,7.893290043290043,17.202086303893598,10.00059659300537,192.0,350.0,3,4,6.366666666666666,5.033333333333333,10.916666666666668,7.416666666666667,1.8823529411764706,2.5294117647058822,2.869281045751634,7.5,0,3.0588235294117645,6,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
G5.txt,1,2,1,2,2,2,1,4,1,3,2,1,4,2,3,3,2,2,2,3,0.8333333333333334,14.533609285639919,0.75,0.9166666666666666,0.9166666666666667,7.0,2.000000000000001,1,1,1.9663264951887856,1.6666666666666665,1.9333333333333333,3.495093791412857,2.1971026724636946,26.0,33.0,1,2,1.6666666666666665,1.3333333333333333,3.0,2.0,1.5,2.0,2.0,2.0,0,2.5,2,2,False,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True
G6.txt,1,2,1,2,2,2,1,4,1,3,2,1,5,1,3,3,2,2,2,3,0.6666666666666666,10.719223348383267,0.6,0.8333333333333334,0.5833333333333333,8.0,1.0,1,1,1.893846850117352,1.5,1.8,2.9378169244873686,1.8944271909999157,18.0,19.0,1,2,1.4999999999999998,1.2499999999999998,2.5,1.8333333333333333,1.75,2.25,2.4,2.5,1,2.0,1,1,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True
G7.txt,1,2,1,1,3,1,1,4,1,4,2,2,3,3,3,4,1,2,3,3,1.0,21.189175246702003,1.0,1.0,1.0,6.0,3.9999999999999996,1,1,2.0,2.0,2.0,4.0,2.4494897427831783,36.0,54.0,1,2,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.5,0,3.0,4,4,False,False,True,True,True,False,False,True,False,True,False,True,True,True,False,False,True,True,True
G8.txt,1,2,1,3,2,2,1,4,1,2,1,1,6,1,3,2,3,3,1,1000000,0.5,7.8291548803518545,0,0.75,0.0,9.0,1.0000000000000007,1,1,1.7320508075688776,1.0,1.5,2.449489742783178,1.5,12.0,9.0,1,2,2.0,1.3333333333333333,4.0,2.0,1.0,2.0,2.0,3.0,3,1.5,3,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True
G9.txt,2,3,3,2,2,2,2,5,2,3,2,2,5,2,2,2,2,2,3,5,0.5,11.496186321883677,0,0.75,0.0,15.0,1.3819660112501055,1,1,2.5,2.5,2.5,3.5355339059327378,2.5,20.0,20.0,2,3,2.5,2.5,5.0,5.0,1.0,1.0,1.0,2.5,0,2.0,5,5,False,True,True,True,False,True,True,True,False,True,False,False,True,True,True,False,True,False,True
Gadget3.txt,4,6,7,7,8,6,3,16,4,3,7,6,18,3,3,3,4,8,9,3,0.2,67.16162241402694,0.375,0.4316666666666676,0.43749999999999994,402.0,0.1442274933640117,1,3,8.0,8.0,8.0,16.0,9.797958971132713,144.0,216.0,4,6,8.0,8.0,16.0,16.0,1.0,1.0,1.0,6.0,0,3.0,16,16,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True
J3.txt,3,5,5,5,5,3,3,12,3,3,6,4,9,3,3,3,3,6,7,3,0.2727272727272727,41.70908308730894,0.08333333333333333,0.5984848484848485,0.08333333333333333,129.0,1.0000000000000009,1,3,6.0,6.0,6.0,12.0,7.348469228349535,108.0,162.0,3,4,6.0,6.0,12.0,12.0,1.0,1.0,1.0,4.5,0,3.0,12,12,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
K4.txt,1,2,1,1,4,1,1,5,1,5,2,2,3,4,4,5,1,2,4,3,1.0,56.06966779783001,1.0,1.0,1.0,10.0,4.999999999999999,1,1,2.5,2.5,2.5,6.123724356957945,3.5355339059327373,80.0,160.0,1,2,2.5,2.5,5.0,5.0,1.0,1.0,1.0,1.5,0,4.0,5,5,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False
K4_4.txt,2,2,2,4,6,2,2,8,4,2,4,4,6,4,4,2,2,4,4,4,0.5714285714285714,60.61646567203302,0,0.7857142857142857,0.0,40.0,3.999999999999999,1,4,4.0,4.0,4.0,9.797958971132712,5.65685424949238,128.0,256.0,2,2,4.0,4.0,8.0,8.0,1.0,1.0,1.0,2.5,0,4.0,8,8,True,True,False,True,False,True,True,False,False,True,False,False,True,True,True,False,True,False,False
